tf_code,tf_name,sf_code,sf_name,distance_km
59xkoo,پیتزا و ساندویچ چیتگر,27zn85,پیتزا ساندویچ چیتگر,0.008558891
59xyro,نان فانتزی و بربری طاها,wd9ekq,نان بربری سنتی طاها,0.017817353
59xzk3,نان سنگک سنتی شاطر علی ,095kyy,نانوایی شاطر علی,0.004152865
59xzn4,تهیه غذای برادران فرهنگیان,r5vwmz,رستوران فرهنگیان,0.102758125
5g73kg,کافه ایندو,85or4g,کافه این۲,0.009431068
5g78n1,نانوایی لواش اسلامی,0w6o1g,لواشی برادران اسلامی,0.034693335
5g78y3,سبزی خردکنی ریحانه تک,pvlee5,سبزی خردکنی ریحانه (شعبه مرکزی),0.353768818
5g7gwz,نان لواشی کن,31l9ky,نانوایی لواش کوهسار,0.407035995
5g7nkw,کباب ترکی و بریانکده سلماس,p67mow,کباب ترکی سلماس,0.217489161
5g8442,تهیه غذا آباجی,3xxnnw,رستوران آباجی,0.010275529
5g8pp2,کافه حانیل,7jwg7x,قهوه حانیل,0.001097334
5g911r,قهوه مونا,3xvjq4,مونا کافی,0.038032827
5g93y6,کافه رستوران اذ,0we1gq,کافه رستوران اِذ(نان برسان),0.01419237
5g974x,کافه لیَن (lien cafe),xd5zy4,کافه لین,0.019684973
5g98w9,نانوایی سنگک یزدان,3eq69m,نان سنگک یزدان,0.380264327
5g9g4w,کافه رستوران پدیده,jy29ng,کافه فست فود پدیده,0.0742216
5g9ml1,فست فود دُر دُر,y192qd,فست فود دور دور,0.006069886
5g9mn1,میوه فروشی برادران,27q992,میوه سرای برادران,0.01101878
5g9nwg,فست فود فرندسیتی,qylmwx,رستوران فرند سیتی,0.058165038
5g9oxk,فست فود خان دیزی,27xlze,فست فود خان دیزی,0.26171161
5g9pom,میوه فروشی قصر ,09zy26,سوپر میوه قصر,0.028141621
5g9w84,تره بار عارف,85o9jy,میوه عارف,0.02410021
5g9xpw,رستوران ماه بانو,0g5q6m,کترینگ ماه بانو,0.002005287
5g9z31,هونلی(Havenly),5owvoe,فست فود هونلی,0.029473983
